Year,Fire Name (County),Units,Value
2018 November,Camp Fire (Butte County),Cost ($B),16.5
2018 November,Camp Fire (Butte County),Acres,153336.0
2018 November,Camp Fire (Butte County),Structures,18804.0
2017 October,Tubbs Fire (Napa & Sonoma),Cost ($B),1.3
2017 October,Tubbs Fire (Napa & Sonoma),Acres,36807.0
2017 October,Tubbs Fire (Napa & Sonoma),Structures,5643.0
2018 July,"Carr Fire (Shasta, Trinity)",Cost ($B),1.6
2018 July,"Carr Fire (Shasta, Trinity)",Acres,229651.0
2018 July,"Carr Fire (Shasta, Trinity)",Structures,1614.0
2003 October,Old Fire (San Bernardino),Cost ($B),1.2
2003 October,Old Fire (San Bernardino),Acres,91281.0
2003 October,Old Fire (San Bernardino),Structures,1003.0
2018 November,Woolsey Fire (LA & Ventura),Cost ($B),6.0
2018 November,Woolsey Fire (LA & Ventura),Acres,96949.0
2018 November,Woolsey Fire (LA & Ventura),Structures,1643.0
2017 December,Thomas Fire (Ventura & Santa Barbara),Cost ($B),2.2
2017 December,Thomas Fire (Ventura & Santa Barbara),Acres,281893.0
2017 December,Thomas Fire (Ventura & Santa Barbara),Structures,1063.0
2003 October,Cedar Fire (San Diego),Cost ($B),1.3
2003 October,Cedar Fire (San Diego),Acres,273246.0
2003 October,Cedar Fire (San Diego),Structures,2820.0
2006 October,Esperanza (Riverside),Cost ($B),1.0
2006 October,Esperanza (Riverside),Acres,40200.0
2006 October,Esperanza (Riverside),Structures,5.0
